temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,angle_of_incidence,zenith,generated_power_kw
2.17,31,1035,0,0,0,6.37,58.753108,83.237322,454.10095
2.31,27,1035.1,0,0,1.78,5.15,45.408585,75.143041,1411.9994
3.65,33,1035.4,0,0,108.58,4.68,32.848282,68.820648,2214.8493
5.82,30,1035.4,0,0,258.1,3.6,22.699288,64.883536,2527.6092
7.73,27,1034.4,0,0,375.58,6.21,19.199908,63.795208,2640.2034
8.69,29,1034.6,0,0,449.45,6.29,25.088167,65.70086,2546.0816
9.72,27,1034,0,0,469.92,5.96,36.197514,70.351498,2270.3207
10.07,28,1034.1,0,0,436.99,7.07,49.073008,77.228779,1063.8302
9.38,32,1033.9,0,0,353.33,9.42,62.37114,85.585411,86.817611
6.54,47,1035.1,0,0,228.73,7.92,105.86656,121.46318,9.6666667
2.18,24,1038.5,0,0.9,0,7.15,58.845824,83.242237,513.90842
2.41,25,1038.4,0,1.8,2.67,7.7,45.485379,75.128751,1076.7197
4.21,33,1039.3,0,0,113.92,6.49,32.896851,68.783811,1018.7148
6.9,36,1039,0,0,255.43,3.96,22.691118,64.819803,2307.0852
9.29,30,1037.6,0,0.9,380.03,6.49,19.107739,63.706944,2261.3353
11.86,26,1036.5,0,100,400.5,5.69,24.953054,65.591365,1706.41
12.47,26,1036.5,0,100,415.63,9.11,36.063181,70.227766,1385.8102
11.99,30,1036.7,0,100,387.15,10.83,48.947246,77.097036,547.77553
11.32,33,1036.5,0,100,333.75,10.93,62.1479,85.381751,61.566961
3.77,35,1039.1,0,0,0,6.99,58.9765,83.267328,419.20845
4.01,36,1039.6,0,38,2.67,6.83,45.55898,75.107523,1371.9036
6.66,34,1039.7,0,62,111.25,5.41,32.941458,68.737737,2154.5695
9.29,40,1038.3,0,49,256.32,2.97,22.67679,64.748514,2456.0311
12.26,33,1037.5,0,29,369.35,4.84,19.004469,63.610054,2536.1985
13.77,30,1036.6,0,5.1,441.44,5.51,24.813234,65.474867,2462.3889
14.43,30,1036.6,0,2.1,461.02,7.59,35.926593,70.097733,2202.6894
14.58,30,1036.4,0,5.1,430.76,9.01,48.820772,76.959788,1046.8986
14.04,32,1036.6,0,2.4,352.44,9.37,62.14581,85.32007,88.940216
4.25,30,1038.8,0,0,0,6.61,59.024684,83.232999,418.46229
4.28,31,1038.6,0,0,1.78,6.3,45.734575,75.136798,1300.4193
5.76,35,1038.4,0,0,104.13,5.5,32.981515,68.685423,2143.0744
8.47,40,1037.1,0,0,250.09,1.8,22.656758,64.669873,2436.7275
11.34,33,1035.3,0,0,366.68,2.9,18.896941,63.506526,2534.3489
12.25,29,1034.3,0,0,435.21,7.79,24.669091,65.351595,2477.8934
12.6,30,1033.5,0,0,455.68,9.51,35.787961,69.961609,2206.8945
12.66,31,1033.5,0,0,425.42,6.7,48.693732,76.817213,1040.8729
12.4,33,1032.7,0,0,345.32,7.59,62.033585,85.180199,93.423875
1.92,73,1034.2,0,0,0,15.48,59.11072,83.218833,425.30454
1.51,80,1035.2,0,0,1.78,15.86,45.676492,75.034084,1355.1012
4.38,76,1034.8,0,0,106.8,15.5,33.017211,68.62586,2122.2185
7.8,67,1032.8,0,0,255.43,16.24,22.630859,64.583818,2430.8578
10.07,58,1031.7,0,0,372.91,14.47,18.782814,63.395723,2549.7753
12.65,38,1028,0,0,440.55,4.69,24.520556,65.22152,2505.5434
13.28,39,1027.2,0,0,462.8,4.83,35.647353,69.819392,2236.1667
13.36,42,1027.2,0,0,431.65,5.35,48.566224,76.669341,1079.7043
12.68,49,1027.5,0,0,350.66,5.69,61.921788,85.035625,97.017519
0.62,45,1031.7,0,0,0,7.7,59.194427,83.19827,445.47816
0.82,44,1031.9,0,4,1.78,7.65,45.760553,75.002668,1411.1547
3.32,45,1032.3,0,44,113.92,5.19,33.020593,68.547439,2212.9796
7.06,47,1030.9,0,15,264.33,3.32,22.599143,64.49038,2522.2383
9.36,34,1029.1,0,39,378.25,7.73,18.662127,63.277688,2625.5014
8.86,41,1026.8,0,0,447.67,10.08,24.367718,65.0847,2577.2011
9.23,42,1027.1,0,0,469.03,10.5,35.504891,69.671158,2283.7003
9.21,44,1027,0,0,436.99,10.95,48.438368,76.516256,1086.2028
8.64,48,1027,0,0,356,9.53,61.810516,84.886424,103.20437
-2,99,1036.6,0,0,0,7.65,59.16669,83.099158,455.91293
-1.77,92,1037,0,0,1.78,9.18,45.82124,74.953937,1417.3211
0.78,81,1037.1,0,0,107.69,6.92,32.972619,68.437019,2224.3277
4.01,70,1036.3,0,0,255.43,4.02,22.528242,64.378984,2549.8831
6.32,62,1035.1,0,0,373.8,1.3,18.53492,63.15247,2637.6611
8.03,45,1030.6,0,0,449.45,6.19,24.210671,64.941199,2567.6217
8.93,42,1030.1,0,0,473.48,8.37,35.360702,69.516981,2293.5854
9.11,43,1030.5,0,0,443.22,10.59,48.310286,76.358042,1167.8618
8.46,47,1030.6,0,0,363.12,10.37,61.69987,84.732679,114.485
-0.48,56,1041.5,0,0,0,7.9,59.354669,83.137905,473.56029
